Gmina	Frekwencja	Andrzej Sebastian DUDA	Rafał Kazimierz TRZASKOWSKI
Mirosławiec	59.16	41.98	58.02
Szklarska Poręba	74.09	33.64	66.36
Świebodzice	64.09	44.15	55.85
Stoszowice	59.89	58.23	41.77
Fabianki	63.41	45.17	54.83
Barcin	63.19	42.65	57.35
Międzyrzec Podlaski	68.07	81.75	18.25
Potok Górny	66.26	86.64	13.36
Potok Wielki	64.23	83.22	16.78
Krzczonów	65.46	74.93	25.07
Wojcieszków	68.05	84.92	15.08
Krzeszyce	66.00	48.07	51.93
Lisia Góra	68.38	76.38	23.62
Kościelisko	68.56	61.74	38.26
Stupsk	63.47	74.80	25.20
Brok	71.69	61.85	38.15
Nowe Miasto	69.87	66.06	33.94
Mochowo	60.14	76.95	23.05
Działdowo	56.21	65.80	34.20
Zalewo	52.03	51.56	48.44
Mrągowo	60.59	46.00	54.00
Kobylin	63.75	64.36	35.64
Wyrzysk	59.93	55.19	44.81
Słupca	63.85	66.34	33.66
Trzcińsko-Zdrój	54.81	53.45	46.55
Siemyśl	61.42	43.66	56.34
Barlinek	62.76	45.16	54.84
Dębno	61.65	42.60	57.40
Świdwin	53.46	59.22	40.78
Cieszków	64.85	61.81	38.19
Ciechocinek	75.18	46.15	53.85
Dobre	59.40	65.91	34.09
Lubicz	70.13	46.58	53.42
Obsza	65.62	83.83	16.17
Mircze	55.66	75.33	24.67
Izbica	60.03	74.87	25.13
Annopol	64.24	76.66	23.34
Parczew	64.29	60.78	39.22
Nowe Miasteczko	61.50	53.01	46.99
Sulechów	66.07	39.10	60.90
Rogów	70.42	66.63	33.37
Lipinki	65.89	79.79	20.21
Łososina Dolna	76.16	86.16	13.84
Zakopane	74.06	50.74	49.26
Białobrzegi	75.19	63.47	36.53
Radzanów	67.15	76.02	23.98
Słubice	67.67	78.66	21.34
Czerwińsk nad Wisłą	58.77	76.37	23.63
Dzierzążnia	66.10	77.44	22.56
Tułowice	63.19	53.44	46.56
Grębów	65.82	78.15	21.85
Szumowo	66.60	81.59	18.41
Stegna	72.82	39.09	60.91
Istebna	71.86	74.37	25.63
Ogrodzieniec	69.09	53.86	46.14
Kazimierza Wielka	59.80	68.39	31.61
Nowa Słupia	63.01	74.92	25.08
Kętrzyn	52.20	51.97	48.03
Szamocin	61.30	47.69	52.31
Sośnie	63.40	66.52	33.48
Rawicz	64.96	43.34	56.66
Myślibórz	59.54	47.89	52.11
Świeradów-Zdrój	69.00	37.12	62.88
Lubin	70.78	54.00	46.00
Ścinawa	64.66	69.48	30.52
Borów	69.21	64.48	35.52
Brodnica	62.39	52.07	47.93
Łaziska	63.80	77.78	22.22
Grabowiec	59.42	81.79	18.21
Radecznica	60.53	83.72	16.28
Krosno Odrzańskie	63.98	39.13	60.87
Strzelce Krajeńskie	61.72	40.28	59.72
Szprotawa	58.52	48.63	51.37
Żary	62.34	47.09	52.91
Kiełczygłów	71.39	78.59	21.41
Aleksandrów	73.16	76.20	23.80
Dalików	68.76	67.14	32.86
Klonowa	69.68	77.09	22.91
Charsznica	65.36	71.94	28.06
Gródek nad Dunajcem	70.51	79.40	20.60
Szczawnica	70.87	52.65	47.35
Łapsze Niżne	62.05	74.50	25.50
Nowe Miasto nad Pilicą	72.31	74.04	25.96
Lelis	67.70	77.60	22.40
Zatory	72.13	74.51	25.49
Prudnik	61.97	57.43	42.57
Kołaczyce	67.80	84.35	15.65
Somonino	66.12	60.03	39.97
Ryjewo	55.01	48.97	51.03
Krokowa	77.96	40.92	59.08
Przystajń	64.08	58.97	41.03
Kije	66.67	75.59	24.41
Elbląg	58.19	48.82	51.18
Ryn	66.43	43.35	56.65
Kętrzyn	61.85	41.95	58.05
Korsze	51.84	57.08	42.92
Srokowo	56.53	50.00	50.00
Świętajno	53.63	53.55	46.45
Niechanowo	67.86	59.33	40.67
Brzeziny	66.96	70.82	29.18
Trzcinica	64.72	61.79	38.21
Orchowo	61.90	61.29	38.71
Zagórów	60.97	66.02	33.98
Łobez	61.88	44.26	55.74
Złoty Stok	60.68	53.10	46.90
Białe Błota	74.16	33.47	66.53
Zbójno	57.81	68.24	31.76
Gruta	61.44	61.36	38.64
Brzuze	60.41	63.54	36.46
Drzycim	60.77	61.94	38.06
Chodecz	60.36	60.10	39.90
Tuczna	57.04	73.70	26.30
Cyców	64.49	77.38	22.62
Stężyca	68.22	73.82	26.18
Przytoczna	61.66	42.43	57.57
Gozdnica	55.10	45.53	54.47
Lipinki Łużyckie	56.54	46.99	53.01
Sokolniki	65.88	65.70	34.30
Głowno	67.35	73.96	26.04
Limanowa	73.53	83.04	16.96
Mszana Dolna	71.60	83.31	16.69
Tokarnia	74.65	82.76	17.24
Zator	68.88	60.93	39.07
Karniewo	67.61	78.13	21.87
Płońsk	65.45	66.11	33.89
Przyłęk	65.06	81.24	18.76
Jedlicze	64.61	71.56	28.44
Borowa	65.60	75.37	24.63
Bargłów Kościelny	53.44	76.69	23.31
Trzcianne	58.02	84.90	15.10
Krasnopol	59.95	57.40	42.60
Człuchów	64.91	36.60	63.40
Puck	69.55	36.94	63.06
Skórcz	62.13	72.04	27.96
Woźniki	64.52	63.35	36.65
Lipnik	60.31	78.00	22.00
Markusy	55.89	59.36	40.64
Karlino	53.81	50.44	49.56
Bierzwnik	60.05	51.81	48.19
Choszczno	62.39	44.51	55.49
Darłowo	77.24	39.51	60.49
Barwice	53.31	57.77	42.23
Jerzmanowa	73.12	51.54	48.46
Góra	59.22	51.65	48.35
Kamienna Góra	64.30	50.70	49.30
Wińsko	62.86	71.19	28.81
Zgorzelec	66.48	41.89	58.11
Inowrocław	66.90	38.82	61.18
Rypin	58.24	62.37	37.63
Pruszcz	64.48	52.61	47.39
Zławieś Wielka	66.09	42.66	57.34
Kęsowo	62.57	64.13	35.87
Brześć Kujawski	61.71	51.12	48.88
Goraj	63.60	85.44	14.56
Łukowa	66.07	82.41	17.59
Strzyżewice	66.45	71.59	28.41
Janowiec	68.43	65.09	34.91
Widawa	67.39	71.79	28.21
Żegocina	78.13	85.74	14.26
Krościenko nad Dunajcem	69.38	66.18	33.82
Raba Wyżna	63.66	78.37	21.63
Przeciszów	70.26	59.70	40.30
Bystra-Sidzina	63.22	76.96	23.04
Gostynin	64.62	66.52	33.48
Błędów	68.65	74.44	25.56
Płoniawy-Bramura	64.30	77.23	22.77
Nadarzyn	79.01	39.74	60.26
Krościenko Wyżne	68.85	73.18	26.82
Grodzisko Dolne	66.86	85.09	14.91
Łańcut	71.36	78.74	21.26
Iwierzyce	70.89	83.02	16.98
Siemiatycze	62.16	52.97	47.03
Kościerzyna	74.07	54.55	45.45
Słupsk	64.46	38.81	61.19
Szczyrk	74.06	54.87	45.13
Krzepice	69.31	60.25	39.75
Czernichów	73.55	60.82	39.18
Radziechowy-Wieprz	68.74	73.73	26.27
Małogoszcz	68.84	78.00	22.00
Sobków	68.60	74.97	25.03
Łoniów	63.98	77.20	22.80
Włoszczowa	67.63	68.19	31.81
Prostki	50.63	65.15	34.85
Reszel	58.14	47.07	52.93
Lidzbark Warmiński	63.66	38.92	61.08
Biskupiec	59.29	62.63	37.37
Trzcianka	66.12	37.65	62.35
Żerków	65.96	67.91	32.09
Koło	68.12	66.42	33.58
Olszówka	63.32	80.47	19.53
Nekla	69.08	46.86	53.14
Złocieniec	61.59	46.59	53.41
Kołobrzeg	76.83	37.10	62.90
Bobolice	58.19	53.34	46.66
Suchań	56.21	57.36	42.64
Wałcz	66.73	35.78	64.22
Niemcza	59.38	55.59	44.41
Kamienna Góra	60.90	46.60	53.40
Oleśnica	64.22	50.84	49.16
Złotoryja	65.51	45.10	54.90
Janikowo	60.83	51.18	48.82
Sosnówka	55.30	70.24	29.76
Trzeszczany	58.73	77.61	22.39
Wola Mysłowska	72.49	85.01	14.99
Komarów-Osada	66.43	75.34	24.66
Łagów	62.01	42.29	57.71
Wschowa	62.03	53.82	46.18
Stryków	73.48	52.00	48.00
Korzenna	73.66	87.29	12.71
Nowy Targ	64.30	56.59	43.41
Łosice	66.59	70.68	29.32
Baranowo	62.35	75.01	24.99
Chorzele	60.68	75.42	24.58
Rusinów	76.44	87.97	12.03
Skaryszew	72.72	80.36	19.64
Reńska Wieś	50.86	43.82	56.18
Zdzieszowice	54.42	41.54	58.46
Cieszanów	58.44	74.50	25.50
Czudec	69.56	79.49	20.51
Płaska	70.58	43.89	56.11
Grajewo	59.72	61.99	38.01
Dubicze Cerkiewne	57.19	44.02	55.98
Stawiski	58.07	83.52	16.48
Lipnica	71.36	63.66	36.34
Szczekociny	68.60	69.50	30.50
Sępopol	52.38	59.75	40.25
Lelkowo	49.37	58.56	41.44
Sieraków	64.25	42.71	57.29
Łobżenica	61.31	68.23	31.77
Suchy Las	82.38	24.53	75.47
Wągrowiec	61.23	51.84	48.16
Gryfice	60.73	42.57	57.43
Dobra (Szczecińska)	77.44	25.05	74.95
Sławno	63.03	46.37	53.63
Dolice	54.36	55.15	44.85
Szczecinek	55.74	56.21	43.79
Tuczno	57.45	53.01	46.99
Pieszyce	58.22	53.80	46.20
Walim	62.58	46.55	53.45
Piotrków Kujawski	63.62	67.73	32.27
Wąbrzeźno	62.77	40.58	59.42
Józefów	60.43	68.30	31.70
Dzwola	71.10	92.51	7.49
Opole Lubelskie	63.56	68.71	31.29
Zawoja	66.38	66.02	33.98
Rzewnie	76.37	70.73	29.27
Baboszewo	64.01	74.10	25.90
Sierpc	65.80	55.38	44.62
Brańszczyk	69.09	73.73	26.27
Paczków	60.38	59.66	40.34
Dobrodzień	47.59	48.94	51.06
Brzyska	69.50	88.00	12.00
Lesko	63.64	63.38	36.62
Nowinka	76.13	54.47	45.53
Goniądz	61.05	67.81	32.19
Drohiczyn	61.41	73.30	26.70
Buczkowice	71.58	57.23	42.77
Połaniec	68.98	70.63	29.37
Kisielice	56.07	66.33	33.67
Purda	65.60	39.96	60.04
Ostróda	66.33	38.27	61.73
Gołdap	57.68	44.70	55.30
Gniezno	68.73	40.64	59.36
Żelazków	70.55	63.98	36.02
Międzychód	66.85	36.24	63.76
